,Date,Ticker,GICS Sector,GICS Sub-Industry,Close,Volume,Indicator_type,Indicator_trend,Trend,1d_pred,3d_pred,5d_pred,10d_pred
108,2020-12-08,AMGN,Health Care,Biotechnology,228.94,2124500.0,Hammer,Bearish,True,229.85,227.39999389648438,230.52999877929688,220.99000549316406
109,2019-04-18,ADI,Information Technology,Semiconductors,114.79,2052800.0,Hammer,Bearish,True,113.61,117.29000091552734,114.44000244140625,116.94999694824219
110,2019-07-03,ADI,Information Technology,Semiconductors,113.17,1444500.0,Hammer,Bearish,True,112.86,113.29000091552734,113.91999816894531,116.01000213623047
111,2019-07-11,ADI,Information Technology,Semiconductors,113.92,1414200.0,Hammer,Bearish,False,116.2,115.45999908447266,116.01000213623047,122.18000030517578
112,2019-07-16,ADI,Information Technology,Semiconductors,115.46,2007400.0,Hammer,Bearish,False,113.94,115.77999877929688,119.91999816894531,120.95999908447266
113,2019-09-30,ADI,Information Technology,Semiconductors,111.73,2276600.0,Hammer,Bearish,True,109.78,110.87000274658203,110.83999633789062,110.33999633789062
114,2019-11-14,ADI,Information Technology,Semiconductors,113.32,1102200.0,Hammer,Bearish,False,113.4,111.70999908447266,108.77999877929688,112.94999694824219
115,2019-11-22,ADI,Information Technology,Semiconductors,110.65,1783600.0,Hammer,Bearish,False,112.93,113.69999694824219,111.26000213623047,114.62000274658203
116,2019-12-20,ADI,Information Technology,Semiconductors,119.82,4449000.0,Hammer,Bearish,False,119.17,119.7300033569336,118.86000061035156,119.58000183105469
117,2020-09-22,ADI,Information Technology,Semiconductors,114.7,2220100.0,Hammer,Bullish,True,112.5,113.4800033569336,116.6500015258789,115.54000091552734
118,2020-12-17,ADI,Information Technology,Semiconductors,143.78,2354200.0,Hammer,Bullish,True,144.56,144.27999877929688,144.47000122070312,146.02000427246094
119,2020-12-24,ADI,Information Technology,Semiconductors,144.47,466400.0,Hammer,Bullish,True,144.68,146.17999267578125,146.02000427246094,158.3000030517578
120,2019-04-12,ANSS,Information Technology,Application Software,189.55,187100.0,Hammer,Bearish,False,189.96,187.08999633789062,189.0399932861328,193.58999633789062
121,2019-04-18,ANSS,Information Technology,Application Software,186.59,360100.0,Hammer,Bearish,True,189.04,192.91000366210938,194.66000366210938,192.49000549316406
122,2020-05-27,ANSS,Information Technology,Application Software,269.31,468100.0,Hammer,Bullish,True,275.1,286.70001220703125,286.8999938964844,286.0
123,2020-06-02,ANSS,Information Technology,Application Software,288.14,454900.0,Hammer,Bullish,False,286.9,289.1000061035156,285.2699890136719,282.5899963378906
124,2020-07-31,ANSS,Information Technology,Application Software,310.6,276000.0,Hammer,Bearish,False,315.23,312.2699890136719,312.3699951171875,313.19000244140625
125,2020-08-10,ANSS,Information Technology,Application Software,308.78,366500.0,Hammer,Bearish,True,301.92,314.7699890136719,317.3599853515625,325.25
126,2020-12-17,ANSS,Information Technology,Application Software,346.63,360700.0,Hammer,Bullish,False,357.81,362.30999755859375,364.1700134277344,357.6700134277344
127,2019-04-01,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",47.81,111448000.0,Hammer,Bearish,False,48.51,48.92250061035156,50.025001525878906,49.807498931884766
128,2019-04-26,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",51.08,74596400.0,Hammer,Bearish,True,51.15,52.630001068115234,52.9375,49.29499816894531
129,2019-07-23,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",52.21,73420800.0,Hammer,Bullish,False,52.17,51.935001373291016,52.19499969482422,49.25
130,2019-11-06,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",64.31,75864400.0,Hammer,Bullish,True,64.86,65.55000305175781,66.11750030517578,65.79750061035156
131,2019-12-24,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",71.07,48478800.0,Hammer,Bearish,False,72.48,72.87999725341797,75.0875015258789,77.40750122070312
132,2020-07-09,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",95.75,125642800.0,Hammer,Bearish,False,95.92,97.05750274658203,96.52249908447266,92.84500122070312
133,2020-08-14,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",114.91,165565200.0,Hammer,Bullish,False,114.61,115.7074966430664,124.37000274658203,124.80750274658203
134,2019-12-19,AMAT,Information Technology,Semiconductor Equipment,60.67,6002700.0,Hammer,Bullish,True,61.81,61.5,61.16999816894531,59.88999938964844
135,2019-12-24,AMAT,Information Technology,Semiconductor Equipment,61.5,1624100.0,Hammer,Bullish,True,61.31,60.93000030517578,62.20000076293945,61.970001220703125
136,2020-05-27,AMAT,Information Technology,Semiconductor Equipment,56.4,9071600.0,Hammer,Bullish,False,54.67,55.689998626708984,57.810001373291016,59.86000061035156
137,2020-07-31,AMAT,Information Technology,Semiconductor Equipment,64.33,5900600.0,Hammer,Bearish,False,65.01,64.87000274658203,63.56999969482422,67.62000274658203
138,2019-11-27,ASML,Information Technology,Semiconductor Equipment,271.48,383300.0,Hammer,Bullish,False,270.62,264.8399963378906,273.8399963378906,287.239990234375
139,2019-12-24,ASML,Information Technology,Semiconductor Equipment,294.93,219500.0,Hammer,Bullish,False,296.34,294.8900146484375,302.8299865722656,301.3800048828125
140,2020-02-05,ASML,Information Technology,Semiconductor Equipment,306.32,1042000.0,Hammer,Bearish,False,309.55,309.67999267578125,317.44000244140625,313.4700012207031
141,2020-06-29,ASML,Information Technology,Semiconductor Equipment,364.81,612800.0,Hammer,Bullish,True,368.03,373.2200012207031,382.0199890136719,396.8299865722656
142,2020-07-09,ASML,Information Technology,Semiconductor Equipment,394.72,644200.0,Hammer,Bearish,False,395.85,396.8299865722656,385.2200012207031,384.2300109863281
143,2020-08-06,ASML,Information Technology,Semiconductor Equipment,369.23,402100.0,Hammer,Bullish,True,366.07,361.30999755859375,374.760009765625,372.1700134277344
144,2019-04-08,TEAM,Information Technology,Application Software,112.08,1009500.0,Hammer,Bullish,False,112.15,114.44000244140625,114.44999694824219,106.72000122070312
145,2019-09-25,TEAM,Information Technology,Application Software,128.2,1823700.0,Hammer,Bearish,True,128.18,125.44000244140625,122.77999877929688,126.73999786376953
146,2019-12-11,TEAM,Information Technology,Application Software,118.23,2275400.0,Hammer,Bearish,True,116.17,121.22000122070312,118.12000274658203,121.69999694824219
147,2020-06-16,TEAM,Information Technology,Application Software,172.51,2511700.0,Hammer,Bearish,True,176.71,172.63999938964844,182.3300018310547,180.27000427246094
148,2021-01-04,TEAM,Information Technology,Application Software,231.56,1051200.0,Hammer,Bearish,True,234.42,233.3800048828125,230.6699981689453,226.74000549316406
149,2021-03-12,TEAM,Information Technology,Application Software,229.26,1337600.0,Hammer,Bearish,False,236.62,234.0,219.08999633789062,212.94000244140625
150,2019-06-12,ADSK,Information Technology,Application Software,163.77,901800.0,Hammer,Bullish,True,162.32,157.3800048828125,165.6300048828125,162.47999572753906
151,2019-07-12,ADSK,Information Technology,Application Software,174.19,1224400.0,Hammer,Bearish,False,173.71,171.6199951171875,169.30999755859375,167.99000549316406
152,2020-05-27,ADSK,Information Technology,Application Software,199.81,2193000.0,Hammer,Bullish,False,202.63,219.2899932861328,226.38999938964844,236.58999633789062
153,2020-07-31,ADSK,Information Technology,Application Software,236.43,1144200.0,Hammer,Bearish,True,239.48,243.1999969482422,236.24000549316406,234.35000610351562
154,2020-10-23,ADSK,Information Technology,Application Software,254.42,640600.0,Hammer,Bullish,True,249.13,237.6199951171875,235.5399932861328,259.4100036621094
155,2020-12-11,ADSK,Information Technology,Application Software,279.68,1251100.0,Hammer,Bearish,False,288.33,292.1700134277344,305.0,299.6499938964844
156,2021-03-05,ADSK,Information Technology,Application Software,267.39,1835500.0,Hammer,Bearish,True,253.1,263.6400146484375,268.1099853515625,261.5
157,2020-03-10,BIDU,Communication Services,Interactive Media & Services,111.91,5051200.0,Hammer,Bullish,True,108.25,100.29000091552734,91.12999725341797,96.43000030517578
158,2020-07-08,BIDU,Communication Services,Interactive Media & Services,130.64,2931300.0,Hammer,Bearish,True,132.53,127.83999633789062,125.05000305175781,122.75
159,2020-09-10,BIDU,Communication Services,Interactive Media & Services,119.16,3459000.0,Hammer,Bearish,False,120.62,124.48999786376953,124.66999816894531,123.76000213623047
160,2020-09-15,BIDU,Communication Services,Interactive Media & Services,124.49,2405100.0,Hammer,Bullish,False,126.03,124.66000366210938,124.02999877929688,122.58000183105469
161,2020-11-13,BIDU,Communication Services,Interactive Media & Services,145.08,2436400.0,Hammer,Bullish,True,147.84,142.07000732421875,136.11000061035156,138.99000549316406
162,2019-07-02,BIIB,Health Care,Biotechnology,236.37,1401100.0,Hammer,Bullish,False,238.27,230.83999633789062,232.42999267578125,229.44000244140625
163,2019-09-04,BIIB,Health Care,Biotechnology,219.29,1166200.0,Hammer,Bullish,True,223.96,230.0,235.9600067138672,235.1699981689453
164,2020-04-17,BIIB,Health Care,Biotechnology,342.55,1701800.0,Hammer,Bearish,False,339.41,298.010009765625,297.79998779296875,293.0899963378906
165,2020-07-31,BIIB,Health Care,Biotechnology,274.69,1289700.0,Hammer,Bullish,True,278.16,276.1700134277344,305.7099914550781,289.45001220703125
166,2020-11-06,BIIB,Health Care,Biotechnology,328.9,600.0,Hammer,Bullish,True,236.26,244.02999877929688,248.58999633789062,244.14999389648438
167,2021-01-12,BIIB,Health Care,Biotechnology,267.39,1097200.0,Hammer,Bearish,False,266.67,275.8399963378906,270.2799987792969,265.1499938964844
168,2021-02-09,BIIB,Health Care,Biotechnology,269.31,749600.0,Hammer,Bullish,False,275.0,278.0299987792969,276.6700134277344,282.739990234375
169,2019-08-09,BKNG,Consumer Discretionary,Internet & Direct Marketing Retail,1917.69,402000.0,Hammer,Bearish,False,1916.89,1891.18994140625,1922.18994140625,1898.6700439453125
170,2019-08-26,BKNG,Consumer Discretionary,Internet & Direct Marketing Retail,1916.81,219200.0,Hammer,Bearish,True,1919.99,1957.1400146484375,1941.780029296875,2018.760009765625
171,2019-08-30,BKNG,Consumer Discretionary,Internet & Direct Marketing Retail,1966.41,270900.0,Hammer,Bearish,False,1941.78,1994.43994140625,1992.25,2072.949951171875
